problem,method,c1,c2,alpha,iterations,converged,f_final,grad_norm,func_evals,time,linesearch
P7_Extended_Rosenbrock_n2,SD_wolfe,0.0001,0.2,1.0,2000,False,6.089190851116917e-05,0.010548806622203285,19807,0.19851422309875488,Wolfe
P7_Extended_Rosenbrock_n2,SD_wolfe,0.0001,0.2,1.3,2000,False,6.089190851116917e-05,0.010548806622203285,19807,0.208115816116333,Wolfe
P7_Extended_Rosenbrock_n2,SD_wolfe,0.0001,0.2,1.5,2000,False,6.089190851116917e-05,0.010548806622203285,19807,0.21039652824401855,Wolfe
P7_Extended_Rosenbrock_n2,SD_wolfe,0.0001,0.2,1.7,2000,False,6.089190851116917e-05,0.010548806622203285,19807,0.24610376358032227,Wolfe
P7_Extended_Rosenbrock_n2,SD_wolfe,0.0001,0.2,1.9,2000,False,6.089190851116917e-05,0.010548806622203285,19807,0.2214369773864746,Wolfe
P7_Extended_Rosenbrock_n2,SD_wolfe,0.0001,0.2,2.0,2000,False,6.089190851116917e-05,0.010548806622203285,19807,0.20827054977416992,Wolfe
P7_Extended_Rosenbrock_n2,SD_wolfe,0.0001,0.3,0.1,2000,False,6.089190851116917e-05,0.010548806622203285,19807,0.20882821083068848,Wolfe
P7_Extended_Rosenbrock_n2,SD_wolfe,0.0001,0.3,0.3,2000,False,6.089190851116917e-05,0.010548806622203285,19807,0.2082839012145996,Wolfe
P7_Extended_Rosenbrock_n2,SD_wolfe,0.0001,0.3,0.5,2000,False,6.089190851116917e-05,0.010548806622203285,19807,0.21014881134033203,Wolfe
P7_Extended_Rosenbrock_n2,SD_wolfe,0.0001,0.3,0.7,2000,False,6.089190851116917e-05,0.010548806622203285,19807,0.20843887329101562,Wolfe
P7_Extended_Rosenbrock_n2,SD_wolfe,0.0001,0.3,1.0,2000,False,6.089190851116917e-05,0.010548806622203285,19807,0.20069503784179688,Wolfe
P7_Extended_Rosenbrock_n2,SD_wolfe,0.0001,0.3,1.3,2000,False,6.089190851116917e-05,0.010548806622203285,19807,0.20737957954406738,Wolfe
P7_Extended_Rosenbrock_n2,SD_wolfe,0.0001,0.3,1.5,2000,False,6.089190851116917e-05,0.010548806622203285,19807,0.21164989471435547,Wolfe
P7_Extended_Rosenbrock_n2,SD_wolfe,0.0001,0.3,1.7,2000,False,6.089190851116917e-05,0.010548806622203285,19807,0.2835211753845215,Wolfe
P7_Extended_Rosenbrock_n2,SD_wolfe,0.0001,0.3,1.9,2000,False,6.089190851116917e-05,0.010548806622203285,19807,0.2736637592315674,Wolfe
P7_Extended_Rosenbrock_n2,SD_wolfe,0.0001,0.3,2.0,2000,False,6.089190851116917e-05,0.010548806622203285,19807,0.3522970676422119,Wolfe
P7_Extended_Rosenbrock_n2,SD_wolfe,0.0001,0.4,0.1,2000,False,6.089190851116917e-05,0.010548806622203285,19807,0.2517564296722412,Wolfe
P7_Extended_Rosenbrock_n2,SD_wolfe,0.0001,0.4,0.3,2000,False,6.089190851116917e-05,0.010548806622203285,19807,0.33603930473327637,Wolfe
P7_Extended_Rosenbrock_n2,SD_wolfe,0.0001,0.4,0.5,2000,False,6.089190851116917e-05,0.010548806622203285,19807,0.20989012718200684,Wolfe
P7_Extended_Rosenbrock_n2,SD_wolfe,0.0001,0.4,0.7,2000,False,6.089190851116917e-05,0.010548806622203285,19807,0.20053958892822266,Wolfe
P7_Extended_Rosenbrock_n2,SD_wolfe,0.0001,0.4,1.0,2000,False,6.089190851116917e-05,0.010548806622203285,19807,0.25608348846435547,Wolfe
P7_Extended_Rosenbrock_n2,SD_wolfe,0.0001,0.4,1.3,2000,False,6.089190851116917e-05,0.010548806622203285,19807,0.22119855880737305,Wolfe
P7_Extended_Rosenbrock_n2,SD_wolfe,0.0001,0.4,1.5,2000,False,6.089190851116917e-05,0.010548806622203285,19807,0.2047123908996582,Wolfe
P7_Extended_Rosenbrock_n2,SD_wolfe,0.0001,0.4,1.7,2000,False,6.089190851116917e-05,0.010548806622203285,19807,0.19733929634094238,Wolfe
P7_Extended_Rosenbrock_n2,SD_wolfe,0.0001,0.4,1.9,2000,False,6.089190851116917e-05,0.010548806622203285,19807,0.19680047035217285,Wolfe
P7_Extended_Rosenbrock_n2,SD_wolfe,0.0001,0.4,2.0,2000,False,6.089190851116917e-05,0.010548806622203285,19807,0.20018553733825684,Wolfe
P7_Extended_Rosenbrock_n2,SD_wolfe,0.0001,0.5,0.1,2000,False,6.089190851116917e-05,0.010548806622203285,19807,0.20294761657714844,Wolfe
P7_Extended_Rosenbrock_n2,SD_wolfe,0.0001,0.5,0.3,2000,False,6.089190851116917e-05,0.010548806622203285,19807,0.20502614974975586,Wolfe
P7_Extended_Rosenbrock_n2,SD_wolfe,0.0001,0.5,0.5,2000,False,6.089190851116917e-05,0.010548806622203285,19807,0.21788692474365234,Wolfe
P7_Extended_Rosenbrock_n2,SD_wolfe,0.0001,0.5,0.7,2000,False,6.089190851116917e-05,0.010548806622203285,19807,0.216355562210083,Wolfe
P7_Extended_Rosenbrock_n2,SD_wolfe,0.0001,0.5,1.0,2000,False,6.089190851116917e-05,0.010548806622203285,19807,0.20748281478881836,Wolfe
P7_Extended_Rosenbrock_n2,SD_wolfe,0.0001,0.5,1.3,2000,False,6.089190851116917e-05,0.010548806622203285,19807,0.21214771270751953,Wolfe
P7_Extended_Rosenbrock_n2,SD_wolfe,0.0001,0.5,1.5,2000,False,6.089190851116917e-05,0.010548806622203285,19807,0.22817444801330566,Wolfe
P7_Extended_Rosenbrock_n2,SD_wolfe,0.0001,0.5,1.7,2000,False,6.089190851116917e-05,0.010548806622203285,19807,0.2250809669494629,Wolfe
P7_Extended_Rosenbrock_n2,SD_wolfe,0.0001,0.5,1.9,2000,False,6.089190851116917e-05,0.010548806622203285,19807,0.22613167762756348,Wolfe
P7_Extended_Rosenbrock_n2,SD_wolfe,0.0001,0.5,2.0,2000,False,6.089190851116917e-05,0.010548806622203285,19807,0.22353649139404297,Wolfe
P7_Extended_Rosenbrock_n2,SD_wolfe,0.0001,0.6,0.1,2000,False,6.089190851116917e-05,0.010548806622203285,19807,0.22340679168701172,Wolfe
P7_Extended_Rosenbrock_n2,SD_wolfe,0.0001,0.6,0.3,2000,False,6.089190851116917e-05,0.010548806622203285,19807,0.21774959564208984,Wolfe
P7_Extended_Rosenbrock_n2,SD_wolfe,0.0001,0.6,0.5,2000,False,6.089190851116917e-05,0.010548806622203285,19807,0.20333576202392578,Wolfe
P7_Extended_Rosenbrock_n2,SD_wolfe,0.0001,0.6,0.7,2000,False,6.089190851116917e-05,0.010548806622203285,19807,0.19918608665466309,Wolfe
P7_Extended_Rosenbrock_n2,SD_wolfe,0.0001,0.6,1.0,2000,False,6.089190851116917e-05,0.010548806622203285,19807,0.2093508243560791,Wolfe
P7_Extended_Rosenbrock_n2,SD_wolfe,0.0001,0.6,1.3,2000,False,6.089190851116917e-05,0.010548806622203285,19807,0.1994173526763916,Wolfe
P7_Extended_Rosenbrock_n2,SD_wolfe,0.0001,0.6,1.5,2000,False,6.089190851116917e-05,0.010548806622203285,19807,0.19589853286743164,Wolfe
P7_Extended_Rosenbrock_n2,SD_wolfe,0.0001,0.6,1.7,2000,False,6.089190851116917e-05,0.010548806622203285,19807,0.20059704780578613,Wolfe
P7_Extended_Rosenbrock_n2,SD_wolfe,0.0001,0.6,1.9,2000,False,6.089190851116917e-05,0.010548806622203285,19807,0.19754266738891602,Wolfe
P7_Extended_Rosenbrock_n2,SD_wolfe,0.0001,0.6,2.0,2000,False,6.089190851116917e-05,0.010548806622203285,19807,0.20034503936767578,Wolfe
